date,interest,province,month,year,Shopping,First_Nations_Topic,chewing_shopping,ecig_search
2019-04,44,MB,04,2019,42,42,,50
2019-05,40,MB,05,2019,26,47,,52
2019-06,47,MB,06,2019,30,44,,48
2019-07,53,MB,07,2019,21,33,,52
2019-08,47,MB,08,2019,39,33,,57
2019-09,38,MB,09,2019,39,37,,75
2019-10,31,MB,10,2019,25,47,,38
2019-11,36,MB,11,2019,26,42,,44
2019-12,36,MB,12,2019,34,31,,46
2020-01,26,MB,01,2020,23,38,,43
2020-02,30,MB,02,2020,24,47,,41
2020-03,31,MB,03,2020,23,36,,34
2020-04,48,MB,04,2020,21,29,,38
2020-05,31,MB,05,2020,19,30,,32
2020-06,24,MB,06,2020,28,32,,32
2020-07,41,MB,07,2020,32,28,,39
2020-08,33,MB,08,2020,29,23,,38
2020-09,34,MB,09,2020,28,34,,39
2020-10,35,MB,10,2020,31,42,,37
2020-11,37,MB,11,2020,32,33,,35
2020-12,63,MB,12,2020,44,31,,45
2021-01,55,MB,01,2021,40,33,,42
2021-02,37,MB,02,2021,33,39,,38
2021-03,37,MB,03,2021,31,38,,39
2021-04,43,MB,04,2021,29,39,,40
2021-05,42,MB,05,2021,26,39,,35
2021-06,47,MB,06,2021,21,41,,34
2021-07,46,MB,07,2021,25,35,,41
2021-08,54,MB,08,2021,30,30,,42
2021-09,46,MB,09,2021,26,35,,40
2021-10,44,MB,10,2021,35,35,,41
2021-11,40,MB,11,2021,30,36,,44
2021-12,43,MB,12,2021,33,34,,46
2022-01,40,MB,01,2022,34,36,,43
2022-02,39,MB,02,2022,24,39,,42
2022-03,49,MB,03,2022,32,39,,42
2022-04,49,MB,04,2022,31,37,,49
2022-05,54,MB,05,2022,41,35,,52
2022-06,65,MB,06,2022,30,40,,52
2022-07,73,MB,07,2022,40,33,,55
2022-08,66,MB,08,2022,50,36,,59
2022-09,69,MB,09,2022,33,37,,60
2022-10,55,MB,10,2022,42,41,,52
2022-11,47,MB,11,2022,41,36,,44
2022-12,65,MB,12,2022,39,30,,57
2023-01,65,MB,01,2023,31,36,,59
2023-02,62,MB,02,2023,30,37,,54
2023-03,52,MB,03,2023,34,52,,59
2023-04,50,MB,04,2023,42,53,,61
2023-05,57,MB,05,2023,41,53,,67
2023-06,62,MB,06,2023,37,55,,61
2023-07,66,MB,07,2023,39,47,,69
2023-08,70,MB,08,2023,49,47,,71
2023-09,52,MB,09,2023,51,58,,65
2023-10,41,MB,10,2023,51,61,,68
2023-11,35,MB,11,2023,33,64,,63
2023-12,40,MB,12,2023,39,47,,61
2024-01,45,MB,01,2024,45,42,,59
2018-01,37,NB,01,2018,34,24,,64
2018-02,44,NB,02,2018,38,24,,60
2018-03,42,NB,03,2018,55,21,,58
2018-04,30,NB,04,2018,30,26,,48
2018-05,39,NB,05,2018,0,28,,56
2018-06,28,NB,06,2018,31,25,,53
2018-07,42,NB,07,2018,57,20,,57
2018-08,52,NB,08,2018,51,17,,65
2018-09,42,NB,09,2018,0,23,,68
2018-10,43,NB,10,2018,29,23,,77
2018-11,36,NB,11,2018,47,24,,67
2018-12,36,NB,12,2018,65,15,,71
2019-01,41,NB,01,2019,53,18,,67
2019-02,33,NB,02,2019,45,20,,68
2019-03,36,NB,03,2019,58,23,,74
2019-04,45,NB,04,2019,53,21,,76
2019-05,45,NB,05,2019,33,22,,71
2019-06,53,NB,06,2019,37,21,,67
2019-07,58,NB,07,2019,0,19,,65
2019-08,72,NB,08,2019,74,10,,83
2019-09,38,NB,09,2019,73,19,,85
2019-10,29,NB,10,2019,47,22,,60
2019-11,25,NB,11,2019,0,16,,50
2019-12,27,NB,12,2019,0,13,,56
2020-01,24,NB,01,2020,37,20,,56
2020-02,25,NB,02,2020,31,23,,49
2020-03,37,NB,03,2020,38,14,,48
2020-04,37,NB,04,2020,37,12,,48
2020-05,39,NB,05,2020,34,13,,43
2020-06,26,NB,06,2020,30,16,,46
2020-07,35,NB,07,2020,27,14,,48
2020-08,38,NB,08,2020,38,13,,55
2020-09,32,NB,09,2020,23,16,,53
2020-10,31,NB,10,2020,51,25,,55
2020-11,36,NB,11,2020,22,18,,50
2020-12,38,NB,12,2020,45,18,,55
2021-01,34,NB,01,2021,32,14,,59
2021-02,32,NB,02,2021,31,16,,58
2021-03,43,NB,03,2021,39,20,,60
2021-04,38,NB,04,2021,34,22,,61
2021-05,53,NB,05,2021,49,15,,61
2021-06,44,NB,06,2021,38,27,,59
2021-07,60,NB,07,2021,47,17,,71
2021-08,90,NB,08,2021,55,11,,82
2021-09,53,NB,09,2021,56,24,,73
2021-10,44,NB,10,2021,49,22,,67
2021-11,43,NB,11,2021,67,21,,66
2021-12,51,NB,12,2021,36,16,,62
2022-01,48,NB,01,2022,0,16,,64
2022-02,49,NB,02,2022,26,18,,56
2022-03,43,NB,03,2022,51,17,,59
2022-04,63,NB,04,2022,47,16,,65
2022-05,55,NB,05,2022,49,18,,70
2022-06,55,NB,06,2022,46,21,,65
2022-07,63,NB,07,2022,54,19,,73
2022-08,66,NB,08,2022,46,14,,77
2022-09,52,NB,09,2022,34,25,,70
2022-10,48,NB,10,2022,48,16,,67
2022-11,48,NB,11,2022,44,15,,62
2022-12,41,NB,12,2022,38,13,,69
2023-01,35,NB,01,2023,32,13,,68
2023-02,58,NB,02,2023,63,17,,75
2023-03,50,NB,03,2023,52,20,,76
2023-04,60,NB,04,2023,49,25,,76
2023-05,47,NB,05,2023,54,25,,81
2023-06,55,NB,06,2023,61,24,,75
2023-07,77,NB,07,2023,72,23,,80
2023-08,57,NB,08,2023,51,23,,81
2023-09,48,NB,09,2023,48,26,,77
2023-10,50,NB,10,2023,49,29,,76
2023-11,38,NB,11,2023,31,27,,69
2023-12,43,NB,12,2023,55,18,,69
2024-01,33,NB,01,2024,25,15,,65
2018-01,18,NL,01,2018,86,7,,80
2018-02,21,NL,02,2018,46,10,,66
2018-03,21,NL,03,2018,53,12,,51
2018-04,27,NL,04,2018,60,8,,49
2018-05,27,NL,05,2018,0,10,,55
2018-06,0,NL,06,2018,0,9,,53
2018-07,20,NL,07,2018,0,10,,51
2018-08,39,NL,08,2018,0,10,,60
2018-09,0,NL,09,2018,0,6,,69
2018-10,23,NL,10,2018,0,13,,80
2018-11,33,NL,11,2018,63,8,,86
2018-12,41,NL,12,2018,0,5,,67
2019-01,0,NL,01,2019,0,11,,72
2019-02,22,NL,02,2019,0,9,,71
2019-03,22,NL,03,2019,0,11,,73
2019-04,19,NL,04,2019,0,7,,75
2019-05,32,NL,05,2019,63,8,,81
2019-06,34,NL,06,2019,52,6,,72
2019-07,41,NL,07,2019,0,0,,74
2019-08,53,NL,08,2019,52,7,,88
2019-09,21,NL,09,2019,57,6,,91
2019-10,0,NL,10,2019,0,12,,63
2019-11,21,NL,11,2019,0,5,,59
2019-12,18,NL,12,2019,40,7,,63
2020-01,0,NL,01,2020,0,5,,55
2020-02,0,NL,02,2020,44,11,,62
2020-03,16,NL,03,2020,0,5,,44
2020-04,21,NL,04,2020,35,4,,39
2020-05,17,NL,05,2020,0,4,,38
2020-06,16,NL,06,2020,0,6,,43
2020-07,21,NL,07,2020,47,8,,49
2020-08,22,NL,08,2020,35,5,,51
2020-09,0,NL,09,2020,0,6,,50
2020-10,35,NL,10,2020,37,5,,67
2020-11,25,NL,11,2020,39,7,,64
2020-12,30,NL,12,2020,59,9,,76
2021-01,20,NL,01,2021,39,8,,68
2021-02,30,NL,02,2021,45,9,,66
2021-03,26,NL,03,2021,47,6,,63
2021-04,19,NL,04,2021,48,5,,63
2021-05,47,NL,05,2021,43,6,,64
2021-06,35,NL,06,2021,45,11,,67
2021-07,44,NL,07,2021,65,8,,72
2021-08,65,NL,08,2021,56,7,,83
2021-09,44,NL,09,2021,70,8,,66
2021-10,39,NL,10,2021,54,10,,76
2021-11,54,NL,11,2021,59,10,,75
2021-12,37,NL,12,2021,48,6,,61
2022-01,34,NL,01,2022,37,5,,71
2022-02,43,NL,02,2022,33,10,,61
2022-03,40,NL,03,2022,39,11,,64
2022-04,52,NL,04,2022,69,5,,85
2022-05,55,NL,05,2022,47,6,,86
2022-06,66,NL,06,2022,73,12,,78
2022-07,80,NL,07,2022,66,9,,92
2022-08,78,NL,08,2022,79,10,,94
2022-09,68,NL,09,2022,64,12,,90
2022-10,65,NL,10,2022,63,14,,92
2022-11,47,NL,11,2022,57,10,,82
2022-12,61,NL,12,2022,66,8,,85
2023-01,75,NL,01,2023,47,8,,93
2023-02,79,NL,02,2023,63,10,,84
2023-03,80,NL,03,2023,63,14,,91
2023-04,64,NL,04,2023,59,14,,90
2023-05,51,NL,05,2023,61,15,,86
2023-06,65,NL,06,2023,51,16,,93
2023-07,68,NL,07,2023,81,14,,94
2023-08,61,NL,08,2023,100,10,,100
2023-09,64,NL,09,2023,71,15,,89
2023-10,48,NL,10,2023,63,21,,85
2023-11,38,NL,11,2023,48,21,,74
2023-12,64,NL,12,2023,57,15,,78
2024-01,57,NL,01,2024,58,9,,76
2018-01,44,NS,01,2018,29,20,,62
2018-02,45,NS,02,2018,40,26,,65
2018-03,35,NS,03,2018,32,24,,58
2018-04,58,NS,04,2018,41,23,,57
2018-05,44,NS,05,2018,26,21,,54
2018-06,49,NS,06,2018,46,24,,58
2018-07,53,NS,07,2018,44,16,,57
2018-08,54,NS,08,2018,35,12,,61
2018-09,69,NS,09,2018,39,22,,72
2018-10,53,NS,10,2018,56,21,,82
2018-11,46,NS,11,2018,54,24,,76
2018-12,61,NS,12,2018,50,14,,78
2019-01,52,NS,01,2019,55,18,,80
2019-02,60,NS,02,2019,54,19,,82
2019-03,72,NS,03,2019,54,19,,73
2019-04,76,NS,04,2019,45,18,,74
2019-05,67,NS,05,2019,44,17,,74
2019-06,78,NS,06,2019,67,19,,75
2019-07,80,NS,07,2019,61,12,,74
2019-08,93,NS,08,2019,60,12,,92
2019-09,75,NS,09,2019,67,15,,94
2019-10,63,NS,10,2019,26,20,,62
2019-11,46,NS,11,2019,52,16,,62
2019-12,63,NS,12,2019,54,16,,73
2020-01,49,NS,01,2020,34,15,,66
2020-02,60,NS,02,2020,37,24,,67
2020-03,72,NS,03,2020,39,15,,66
2020-04,68,NS,04,2020,42,14,,65
2020-05,51,NS,05,2020,32,10,,54
2020-06,51,NS,06,2020,29,13,,51
2020-07,58,NS,07,2020,43,16,,53
2020-08,54,NS,08,2020,43,11,,51
2020-09,78,NS,09,2020,54,26,,64
2020-10,79,NS,10,2020,60,31,,68
2020-11,60,NS,11,2020,63,22,,58
2020-12,62,NS,12,2020,58,16,,66
2021-01,59,NS,01,2021,49,12,,64
2021-02,66,NS,02,2021,44,13,,66
2021-03,67,NS,03,2021,44,15,,63
2021-04,66,NS,04,2021,58,14,,59
